DBN,Number of Test Takers,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,SCHOOLWIDE PUPIL-TEACHER RATIO.max,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,SCHOOLWIDE PUPIL-TEACHER RATIO.min,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 ADDITIONAL CREDIT,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg),2009-2010 OVERALL GRADE_is_nan,2009-2010 OVERALL GRADE_is_A,2009-2010 OVERALL GRADE_is_B,2009-2010 OVERALL GRADE_is_C,2009-2010 OVERALL GRADE_is_D,2009-2010 OVERALL GRADE_is_F,2009-2010 ENVIRONMENT GRADE_is_nan,2009-2010 ENVIRONMENT GRADE_is_A,2009-2010 ENVIRONMENT GRADE_is_B,2009-2010 ENVIRONMENT GRADE_is_C,2009-2010 ENVIRONMENT GRADE_is_D,2009-2010 ENVIRONMENT GRADE_is_F,2009-2010 PERFORMANCE GRADE_is_nan,2009-2010 PERFORMANCE GRADE_is_A,2009-2010 PERFORMANCE GRADE_is_B,2009-2010 PERFORMANCE GRADE_is_C,2009-2010 PERFORMANCE GRADE_is_D,2009-2010 PERFORMANCE GRADE_is_F,2009-2010 PROGRESS GRADE_is_nan,2009-2010 PROGRESS GRADE_is_A,2009-2010 PROGRESS GRADE_is_B,2009-2010 PROGRESS GRADE_is_C,2009-2010 PROGRESS GRADE_is_D,2009-2010 PROGRESS GRADE_is_F,2008-09 PROGRESS REPORT GRADE_is_nan,2008-09 PROGRESS REPORT GRADE_is_A,2008-09 PROGRESS REPORT GRADE_is_B,2008-09 PROGRESS REPORT GRADE_is_C,2008-09 PROGRESS REPORT GRADE_is_D,2008-09 PROGRESS REPORT GRADE_is_F
M685,54,229.0,33.3,32.0,35.0,15.0,11.0,11.0,10.0,11.0,15.0,79.3214285714,20.5607142857,16.7142857143,23.8214285714,15.0,15.0,5.0,2.03,43.0,6.1,11.2,25.7,0.0,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
M692,106,190.0,24.3,23.0,28.0,12.2,36.0,18.0,15.0,20.0,12.2,109.142857143,22.3785714286,19.5,24.9285714286,12.2,12.2,5.0,3.76,76.2,9.0,22.7,44.5,0.0,7,4,0.57,3,0.43,0,0,7,100,0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100,89.08,13170,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M462,56,327.0,35.0,30.0,40.0,17.8,26.0,18.8,10.0,20.0,17.8,191.285714286,25.5857142857,18.8571428571,30.2857142857,17.8,17.8,6.0,2.17,87.6,11.7,20.5,47.9,7.5,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0.0,2,0.11,0,0.0,3,0.17,1,0.06,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,7,0.39,11,0.61,0,0,18,100,91.34,25733,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M463,75,279.0,31.0,30.0,36.0,16.3,32.0,16.0,12.0,16.0,16.3,151.4375,24.225,17.5,29.9375,16.3,16.3,6.0,2.26,62.6,8.5,15.0,39.1,0.0,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0.0,2,0.11,0,0.0,3,0.17,1,0.06,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,7,0.39,11,0.61,0,0,18,100,91.34,25733,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
M467,106,350.0,34.0,34.0,38.0,15.1,4.0,4.0,4.0,4.0,15.1,115.884615385,24.0230769231,19.5769230769,27.7307692308,15.1,15.1,6.0,2.22,76.9,11.1,19.8,44.5,1.5,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0.0,2,0.11,0,0.0,3,0.17,1,0.06,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,7,0.39,11,0.61,0,0,18,100,91.34,25733,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
M468,28,424.0,32.0,30.0,34.0,15.7,16.0,16.0,10.0,16.0,15.7,143.055555556,26.6,21.3888888889,30.9444444444,15.7,15.7,6.0,2.28,66.3,8.8,14.5,40.0,3.0,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0.0,2,0.11,0,0.0,3,0.17,1,0.06,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,7,0.39,11,0.61,0,0,18,100,91.34,25733,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
M540,193,1029.0,35.5,34.0,37.0,20.6,13.0,13.0,12.0,13.0,20.6,213.5,24.0133333333,19.4666666667,26.3666666667,20.6,20.6,6.0,2.89,51.3,6.5,10.6,34.2,0.0,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0.0,2,0.11,0,0.0,3,0.17,1,0.06,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,7,0.39,11,0.61,0,0,18,100,91.34,25733,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
M552,60,406.0,32.0,28.0,37.0,18.8,14.0,14.0,10.0,14.0,18.8,139.071428571,24.9071428571,17.7857142857,30.5,18.8,18.8,6.0,2.29,73.3,14.6,21.6,32.6,4.5,18,8,0.44,10,0.56,0,0,18,100,0,12,0.67,0,0.0,2,0.11,0,0.0,3,0.17,1,0.06,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,7,0.39,11,0.61,0,0,18,100,91.34,25733,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
X221,60,179.0,36.0,36.0,36.0,13.8,10.0,10.0,10.0,10.0,13.8,55.6888888889,22.3,20.2444444444,24.0888888889,13.8,13.8,7.0,2.44,89.7,9.2,21.9,52.6,6.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X334,33,287.0,21.7,20.0,23.0,14.6,39.0,12.3,10.0,15.0,14.6,121.909090909,15.4454545455,13.3636363636,19.0,14.6,14.6,7.0,1.66,64.1,11.5,11.5,41.1,0.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
X427,50,141.0,31.0,31.0,32.0,12.6,19.0,18.0,10.0,19.0,12.6,48.4230769231,24.2692307692,22.4615384615,25.9615384615,12.6,12.6,7.0,2.12,73.3,10.5,17.3,42.5,3.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
X473,48,151.0,31.5,30.0,33.0,13.4,13.0,13.0,11.0,13.0,13.4,56.4137931034,23.8482758621,22.1724137931,25.0,13.4,13.4,7.0,2.11,67.8,10.5,17.3,40.0,0.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
X495,66,227.0,32.0,32.0,33.0,20.0,15.0,15.0,10.0,15.0,20.0,78.9545454545,25.6090909091,22.9545454545,28.1363636364,20.0,20.0,7.0,2.74,79.3,9.7,16.1,47.5,6.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X500,62,203.0,27.0,27.0,32.0,16.3,13.0,10.5,8.0,13.0,16.3,58.15625,19.590625,17.5625,21.6875,16.3,16.3,7.0,2.86,66.7,8.5,22.1,30.1,6.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
X520,73,354.0,27.2,22.0,34.0,13.2,8.0,7.5,6.0,8.0,13.2,81.28,17.024,12.96,21.36,13.2,13.2,7.0,2.08,52.8,10.2,14.5,28.1,0.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
X527,55,141.0,33.0,32.0,34.0,13.8,10.0,10.0,10.0,10.0,13.8,58.7419354839,23.5161290323,21.1290322581,25.6451612903,13.8,13.8,7.0,2.14,61.8,9.7,15.1,35.5,1.5,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
X547,36,226.0,34.0,34.0,34.0,12.1,16.0,16.0,12.0,16.0,12.1,61.0833333333,24.9666666667,22.75,26.9166666667,12.1,12.1,7.0,2.05,45.6,10.7,8.6,26.3,0.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
X548,58,107.0,30.0,30.0,30.0,14.2,21.0,17.0,12.0,18.0,14.2,45.2692307692,23.3730769231,21.7692307692,24.7692307692,14.2,14.2,7.0,2.56,92.5,11.8,20.8,50.9,9.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X551,51,191.0,31.0,31.0,33.0,11.3,11.0,6.0,2.0,10.0,11.3,75.6216216216,20.5162162162,16.6216216216,23.2972972973,11.3,11.3,7.0,2.34,85.0,12.9,23.3,47.3,1.5,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X600,53,379.0,32.0,32.0,34.0,13.0,10.0,10.0,10.0,10.0,13.0,105.205882353,22.3147058824,18.3823529412,25.2352941176,13.0,13.0,7.0,1.95,49.8,9.2,9.2,31.4,0.0,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
X655,105,565.0,32.5,32.0,34.0,12.6,14.0,11.8,10.0,13.0,12.6,150.2,21.12,15.8666666667,24.7333333333,12.6,12.6,7.0,1.7,50.3,4.7,12.0,32.1,1.5,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
X670,81,268.0,32.0,31.0,34.0,14.9,11.0,11.0,10.0,11.0,14.9,101.483870968,23.1451612903,18.5806451613,27.4193548387,14.9,14.9,7.0,2.4,58.4,8.2,13.7,35.0,1.5,74,40,0.54,34,0.46,0,0,74,100,0,30,0.41,0,0.0,1,0.01,0,0.0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,0,0,74,99,22,0.3,52,0.7,0,0,74,100,86.75,19717,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
X282,56,197.0,30.0,30.0,34.0,18.0,15.0,15.0,13.0,15.0,18.0,62.5217391304,23.4956521739,21.0,26.1739130435,18.0,18.0,8.0,2.66,53.4,5.0,16.5,28.9,3.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
X293,47,154.0,36.0,36.0,36.0,15.8,20.0,19.8,11.0,20.0,15.8,64.9565217391,25.4782608696,22.4347826087,28.4782608696,15.8,15.8,8.0,2.23,82.1,10.7,18.1,39.8,13.5,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
X295,31,313.0,37.0,35.0,55.0,14.5,14.0,14.0,11.0,14.0,14.5,96.6896551724,25.0931034483,19.8620689655,30.8620689655,14.5,14.5,8.0,1.85,60.3,9.9,13.2,37.2,0.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
X305,54,126.0,32.0,32.0,32.0,11.8,10.0,10.0,10.0,10.0,11.8,50.5769230769,21.0961538462,18.3076923077,23.7692307692,11.8,11.8,8.0,1.94,66.7,8.7,15.5,39.5,3.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
X312,41,251.0,33.5,33.0,34.0,14.9,21.0,13.5,10.0,16.0,14.9,87.0769230769,27.4038461538,24.0,30.6153846154,14.9,14.9,8.0,2.12,73.8,13.0,13.9,45.4,1.5,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X332,34,119.0,34.0,34.0,34.0,14.1,15.0,15.0,11.0,15.0,14.1,50.0689655172,20.975862069,18.1724137931,23.724137931,14.1,14.1,8.0,2.13,55.1,9.3,10.0,32.8,3.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
X405,448,1389.0,34.0,34.0,37.0,16.7,11.0,11.0,10.0,11.0,16.7,316.227272727,25.5386363636,18.8636363636,29.2727272727,16.7,16.7,8.0,2.22,36.9,5.2,10.6,21.1,0.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
X452,36,,,,,,,,,,,,,,,,,8.0,2.06,54.8,11.2,14.0,28.1,1.5,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
X519,43,194.0,66.0,66.0,66.0,15.2,10.0,10.0,10.0,10.0,15.2,54.3076923077,25.0115384615,22.2307692308,27.6538461538,15.2,15.2,8.0,2.04,52.3,7.5,10.6,34.2,0.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
X530,48,349.0,36.0,36.0,36.0,12.8,12.0,10.0,10.0,10.0,12.8,105.481481481,23.4777777778,20.1111111111,26.8518518519,12.8,12.8,8.0,2.06,42.3,10.5,5.7,26.1,0.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
X540,29,188.0,32.5,32.0,35.0,10.9,6.0,6.0,6.0,6.0,10.9,52.2258064516,20.8,18.4193548387,23.0967741935,10.9,10.9,8.0,1.68,42.8,7.5,10.6,24.7,0.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
X650,152,485.0,34.0,34.0,35.0,15.3,10.0,10.0,10.0,10.0,15.3,93.85,20.565,16.375,23.35,15.3,15.3,8.0,1.91,50.4,7.8,10.6,32.0,0.0,17,16,0.94,1,0.06,0,0,17,100,0,11,0.65,0,0.0,1,0.06,4,0.24,1,0.06,0,0.0,0,0.0,17,100,1,0.06,16,0.94,0,0.0,0,0,17,100,4,0.24,13,0.76,0,0,17,100,87.15,31625,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
X227,46,208.0,97.0,97.0,97.0,12.3,14.0,14.0,11.0,14.0,12.3,64.5,29.0875,26.3333333333,32.2083333333,12.3,12.3,9.0,1.93,57.6,6.8,13.7,35.6,1.5,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
X231,66,236.0,40.5,29.0,53.0,16.2,11.0,11.0,11.0,11.0,16.2,87.4375,25.190625,21.0,28.96875,16.2,16.2,9.0,2.29,58.6,7.3,12.6,37.2,1.5,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
X239,22,129.0,27.0,27.0,27.0,10.6,11.0,11.0,10.0,11.0,10.6,39.9130434783,17.8956521739,15.5652173913,20.2608695652,10.6,10.6,9.0,1.67,37.7,7.3,9.0,21.4,0.0,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
X250,44,133.0,36.0,36.0,36.0,15.6,17.0,17.0,12.0,17.0,15.6,57.5714285714,25.3571428571,22.6428571429,28.2142857143,15.6,15.6,9.0,2.44,69.2,5.9,18.9,39.9,4.5,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
X252,63,139.0,30.7,29.0,34.0,16.7,11.0,11.0,11.0,11.0,16.7,65.35,25.335,21.7,28.0,16.7,16.7,9.0,2.58,89.0,7.9,19.8,53.8,7.5,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X260,73,143.0,34.3,34.0,36.0,16.9,10.0,10.0,10.0,10.0,16.9,69.5,25.7384615385,22.2307692308,28.8846153846,16.9,16.9,9.0,2.95,69.3,9.1,17.7,39.5,3.0,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
X263,90,264.0,31.5,31.0,34.0,15.3,17.0,17.0,12.0,17.0,15.3,79.9090909091,25.9409090909,22.5909090909,29.0454545455,15.3,15.3,9.0,2.2,75.6,11.1,21.2,38.8,4.5,34,20,0.59,14,0.41,0,0,34,100,1,17,0.5,1,0.03,0,0.0,0,0.0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0.0,0,0,34,100,12,0.35,22,0.65,0,0,34,100,89.27,34518,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
